run_id,source_robot,target_robot,seed,status
ft_a1_to_go2_seed05,a1,go2,5,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_go2_seed05,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_go2_seed05.csv
ft_a1_to_go2_seed06,a1,go2,6,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_go2_seed06,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_go2_seed06.csv
ft_a1_to_go2_seed07,a1,go2,7,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_go2_seed07,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_go2_seed07.csv
ft_a1_to_go2_seed08,a1,go2,8,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_go2_seed08,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_go2_seed08.csv
ft_a1_to_go2_seed09,a1,go2,9,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_go2_seed09,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_go2_seed09.csv
ft_a1_to_go2_seed10,a1,go2,10,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_go2_seed10,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_go2_seed10.csv
ft_a1_to_minicheetah_seed01,a1,minicheetah,1,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_minicheetah_seed01,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_minicheetah_seed01.csv
ft_a1_to_minicheetah_seed02,a1,minicheetah,2,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_minicheetah_seed02,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_minicheetah_seed02.csv
ft_a1_to_minicheetah_seed03,a1,minicheetah,3,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_minicheetah_seed03,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_minicheetah_seed03.csv
ft_a1_to_minicheetah_seed04,a1,minicheetah,4,ok,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/runs/ft_a1_to_minicheetah_seed04,/workspace/vintix_go2/ppo_cross_robot_ft_20260517/curves/ft_a1_to_minicheetah_seed04.csv
